Player,Games Played,GS,Minutes,Min Per Game,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,OREB,DREB,REB,AVG REB,PF,A,TO,STL,BLK,eFG%,TS%,A/TO,Usage Rate,Box +/-
Total,29,,5875.0,202.6,736.0,1551.0,.475,197.0,559,.352,304,433.0,.702,1973.0,68.03,225,682,907.0,31.3,447.0,354.0,364.0,166.0,96.0,0.54,0.57,0.97,18.4,0.12
Opponents,29,,5875.0,202.6,747.0,1585.0,.471,247.0,641,.385,334,436.0,.766,2075.0,71.55,204,657,861.0,29.7,408.0,372.0,318.0,184.0,80.0,0.55,0.58,1.17,18.46,0.14
