Player,MIN,PTS,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,A,TO,A/TO,REB,ORB,DRB,BLK,STL,PF,eFG%,TS%,Usage Rate,Box +/-,Team,Opponent,Date
Matt Enright,36.0,22.0,9.0,15.0,0.6,0.0,5.0,0.0,4.0,5.0,0.8,2.0,1.0,2.0,4.0,1.0,3.0,0.0,2.0,4.0,0.6,0.64,25.56,0.14,UMSL,Cedarville,2023-11-04
Janeir Harris,38.0,14.0,5.0,11.0,0.45,0.0,3.0,0.0,4.0,5.0,0.8,3.0,1.0,3.0,4.0,0.0,4.0,2.0,1.0,2.0,0.45,0.53,21.05,0.13,UMSL,Cedarville,2023-11-04
Mayson Quartlebaum,24.0,13.0,6.0,10.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,0.65,0.65,18.33,0.29,UMSL,Cedarville,2023-11-04
Emanuel Prospere II,37.0,9.0,4.0,7.0,0.57,1.0,2.0,0.5,0.0,2.0,0.0,4.0,2.0,2.0,4.0,1.0,3.0,0.0,2.0,2.0,0.64,0.57,16.22,0.16,UMSL,Cedarville,2023-11-04
Terrell Kabala,23.0,6.0,2.0,6.0,0.33,2.0,4.0,0.5,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,0.5,0.5,15.65,0.04,UMSL,Cedarville,2023-11-04
Troy Glover II,16.0,6.0,2.0,3.0,0.67,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,6.0,0.0,6.0,1.0,1.0,2.0,0.67,0.63,20.0,0.25,UMSL,Cedarville,2023-11-04
Kris O'Neal II,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.33,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,18.18,0.09,UMSL,Cedarville,2023-11-04
Christian Meeks,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-0.12,UMSL,Cedarville,2023-11-04
Sam Bledsoe,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14,-0.43,UMSL,Cedarville,2023-11-04
Emanuel Prospere II,32.0,18.0,7.0,13.0,0.54,2.0,3.0,0.67,2.0,3.0,0.67,2.0,4.0,0.5,5.0,2.0,3.0,0.0,1.0,3.0,0.62,0.63,27.5,0.09,UMSL,Bentley,2023-11-05
Matt Enright,35.0,15.0,6.0,10.0,0.6,3.0,7.0,0.43,0.0,1.0,0.0,6.0,1.0,6.0,5.0,0.0,5.0,0.0,2.0,2.0,0.75,0.72,20.57,0.4,UMSL,Bentley,2023-11-05
Janeir Harris,31.0,13.0,5.0,13.0,0.38,3.0,7.0,0.43,0.0,0.0,0.0,2.0,5.0,0.4,5.0,1.0,4.0,0.0,0.0,3.0,0.5,0.5,25.81,-0.03,UMSL,Bentley,2023-11-05
Terrell Kabala,24.0,6.0,3.0,7.0,0.43,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.43,0.43,16.67,0.0,UMSL,Bentley,2023-11-05
Mayson Quartlebaum,17.0,4.0,1.0,3.0,0.33,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,0.5,0.52,14.12,0.06,UMSL,Bentley,2023-11-05
Troy Glover II,26.0,20.0,9.0,12.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,14.0,5.0,9.0,2.0,3.0,4.0,0.75,0.78,26.15,0.92,UMSL,Bentley,2023-11-05
Kris O'Neal II,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.06,0.0,UMSL,Bentley,2023-11-05
Sam Bledsoe,10.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-0.2,UMSL,Bentley,2023-11-05
Christian Meeks,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMSL,Bentley,2023-11-05
Georden Rogers,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.25,UMSL,Bentley,2023-11-05
Terrell Kabala,29.0,17.0,5.0,8.0,0.62,5.0,7.0,0.71,2.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,1.0,0.0,5.0,0.94,0.96,15.17,0.24,UMSL,Winona St.,2023-11-16
Matt Enright,36.0,13.0,3.0,12.0,0.25,2.0,7.0,0.29,5.0,5.0,1.0,7.0,2.0,3.5,7.0,0.0,7.0,0.0,0.0,4.0,0.33,0.46,28.89,0.11,UMSL,Winona St.,2023-11-16
Emanuel Prospere II,33.0,10.0,4.0,9.0,0.44,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.33,1.0,1.0,0.0,0.0,0.0,2.0,0.56,0.56,15.76,-0.06,UMSL,Winona St.,2023-11-16
Janeir Harris,24.0,6.0,2.0,8.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,2.0,5.0,1.0,0.0,4.0,0.25,0.34,23.33,0.0,UMSL,Winona St.,2023-11-16
Mayson Quartlebaum,27.0,3.0,1.0,3.0,0.33,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.39,8.89,-0.04,UMSL,Winona St.,2023-11-16
Kris O'Neal II,16.0,10.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.5,1.33,17.5,0.31,UMSL,Winona St.,2023-11-16
Troy Glover II,21.0,6.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,6.0,1.0,5.0,2.0,1.0,2.0,0.75,0.75,13.33,0.38,UMSL,Winona St.,2023-11-16
Christian Meeks,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,UMSL,Winona St.,2023-11-16
Sam Bledsoe,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,-0.3,UMSL,Winona St.,2023-11-16
Matt Enright,42.0,17.0,7.0,14.0,0.5,2.0,7.0,0.29,1.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0,0.0,4.0,0.57,0.59,19.05,0.17,UMSL,Drury,2024-02-15
Mayson Quartlebaum,41.0,17.0,6.0,12.0,0.5,0.0,4.0,0.0,5.0,6.0,0.83,4.0,2.0,2.0,5.0,2.0,3.0,0.0,0.0,3.0,0.5,0.58,23.41,0.07,UMSL,Drury,2024-02-15
Emanuel Prospere II,30.0,14.0,6.0,12.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,0.25,5.0,2.0,3.0,0.0,1.0,3.0,0.5,0.54,25.33,0.0,UMSL,Drury,2024-02-15
Troy Glover II,41.0,11.0,4.0,8.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,1.0,6.0,2.0,4.0,2.0,0.0,1.0,0.5,0.56,15.61,0.15,UMSL,Drury,2024-02-15
Terrell Kabala,37.0,9.0,3.0,10.0,0.3,3.0,7.0,0.43,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,0.45,0.45,16.22,-0.14,UMSL,Drury,2024-02-15
Savon Wykle,20.0,8.0,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,12.0,0.4,UMSL,Drury,2024-02-15
Kris O'Neal II,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,UMSL,Drury,2024-02-15
Georden Rogers,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,UMSL,Drury,2024-02-15
