Player,MIN,PTS,FGM,FGA,3PTM,3PTA,FTM,FTA,A,REB,ORB,DRB,TO,BLK,STL,PF,eFG%,TS%,A/TO,Usage Rate,Box +/-,Team,Opponent
Ivan Misic,25.0,23.0,7.0,11.0,3.0,5.0,6.0,7.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.77,0.82,0.5,33.6,0.32,Bentley,Mo.-St. Louis
Zach Laput,40.0,22.0,7.0,14.0,2.0,7.0,6.0,6.0,4.0,7.0,0.0,7.0,4.0,0.0,2.0,4.0,0.57,0.66,1.0,28.0,0.18,Bentley,Mo.-St. Louis
Aaron Latham,39.0,7.0,3.0,11.0,1.0,4.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,4.0,0.32,0.32,1.0,17.44,-0.03,Bentley,Mo.-St. Louis
Kellan Bochenek,31.0,7.0,2.0,9.0,2.0,5.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.33,0.35,0.0,14.19,-0.06,Bentley,Mo.-St. Louis
Cash McClure,34.0,5.0,2.0,5.0,1.0,3.0,0.0,0.0,3.0,9.0,2.0,7.0,4.0,1.0,3.0,1.0,0.5,0.5,0.75,14.12,0.32,Bentley,Mo.-St. Louis
Joe Carroll,14.0,5.0,2.0,5.0,1.0,4.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.46,0.0,20.0,0.29,Bentley,Mo.-St. Louis
Isaac Martin,15.0,4.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6,0.0,16.0,-0.07,Bentley,Mo.-St. Louis
Luke Britton,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,Bentley,Mo.-St. Louis
